precio,marca,gastos_envio,garantía,altura,anchura,profundidad,capacidad,puertas,baldas,instalación,consumo_anual,eficiencia,ruido,refrigeración,color
418.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,293.0,F,41,NoFrost,Inox
393.49,INDESIT,37.0,3,180.0,70.0,69.0,333.0,2,5,Cíclico,282.0,F,44,Cíclico,Blanco
437.49,INDESIT,37.0,3,189.0,60.0,66.0,230.0,2,4,Cíclico,247.0,E,40,Cíclico,Inox
406.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,293.0,F,41,NoFrost,Blanco
455.2,KROMSLINE,37.0,5,185.0,60.0,66.0,211.0,2,4,NoFrost,256.0,E,41,NoFrost,Blanco
741.49,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Inox
951.2,KROMSLINE,78.0,5,184.0,75.0,69.0,259.0,4,3,NoFrost,331.0,F,42,NoFrost,Inox
571.49,BALAY,37.0,3,82.0,60.0,55.0,137.0,1,3,Cíclico,114.0,F,38,Cíclico,Blanco
1608.61,SMEG,37.0,3,172.0,60.0,77.0,222.0,2,4,Cíclico,168.0,D,37,Cíclico,Azul
730.99,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Inox
437.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,4,NoFrost,235.0,E,41,NoFrost,Blanco
1026.99,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
477.49,BALAY,37.0,3,186.0,60.0,66.0,216.0,2,4,NoFrost,239.0,E,42,NoFrost,Blanco
416.99,WINIA,37.0,3,186.0,60.0,66.98464912280701,207.0,2,4,NoFrost,239.0,E,41,NoFrost,Inox
1149.99,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Blanco
540.49,LG,37.0,3,186.0,60.0,68.0,234.0,2,4,NoFrost,214.0,D,35,NoFrost,Blanco
973.49,SIEMENS,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Inox
400.99,WINIA,37.0,3,186.0,60.0,66.98464912280701,207.0,2,4,NoFrost,299.0,F,41,NoFrost,Inox
974.99,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Inox
1461.49,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,207.0,D,36,NoFrost,Blanco
547.49,FAGOR,37.0,3,186.0,60.0,60.0,206.0,2,4,NoFrost,239.0,E,38,NoFrost,Inox
377.49,WINIA,37.0,3,185.0,60.0,66.98464912280701,221.0,2,4,NoFrost,250.0,E,40,NoFrost,Inox
476.49,BEKO,37.0,3,187.0,60.0,66.0,210.0,2,4,Libre,247.0,E,37,NoFrost,Inox
506.99,INDESIT,37.0,3,203.0,60.0,68.0,263.0,2,4,NoFrost,254.0,E,39,NoFrost,Blanco
819.49,LG,37.0,3,203.0,60.0,66.98464912280701,263.1327623126338,2,4,NoFrost,228.83690987124464,D,38,NoFrost,Negro
837.99,BALAY,37.0,3,203.0,70.0,67.0,330.0,2,5,NoFrost,259.0,E,40,NoFrost,Inox
797.99,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,191.0,D,36,NoFrost,Blanco
1513.49,LG,78.0,3,179.0,91.0,74.0,405.0,2,4,NoFrost,419.0,E,39,NoFrost,Inox
1022.49,WINIA,78.0,3,179.0,90.0,66.98464912280701,334.0,2,4,NoFrost,397.0,F,40,NoFrost,Inox
699.49,LG,37.0,3,203.0,60.0,68.0,107.0,2,3,NoFrost,172.0,C,35,NoFrost,Blanco
408.45,ARISTON HOTPOINT,37.0,3,188.0,60.0,63.0,366.0,1,5,Cíclico,148.0,F,38,Cíclico,Inox
1061.49,SIEMENS,37.0,3,203.0,60.0,66.0,368.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
1026.99,BALAY,37.0,3,203.0,60.0,60.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Gris
1244.49,SIEMENS,37.0,3,177.0,56.0,55.0,192.0,2,5,LowFrost,219.0,E,36,LowFrost,Inox
495.2,KROMSLINE,37.0,5,185.0,60.0,66.0,211.0,2,3,NoFrost,256.0,E,41,NoFrost,Inox
863.2,KROMSLINE,78.0,3,181.0,91.0,66.0,328.0,2,4,NoFrost,402.0,E,42,NoFrost,Inox
661.49,BOSCH,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Blanco
740.0,LG,37.0,3,203.0,60.0,68.0,277.0,2,4,NoFrost,172.0,C,35,NoFrost,Inox
791.99,SIEMENS,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
1092.49,BALAY,37.0,3,177.0,56.0,55.0,187.0,2,5,NoFrost,277.0,F,39,NoFrost,Blanco
591.49,LG,37.0,3,186.0,60.0,68.0,234.0,2,5,NoFrost,214.0,D,35,NoFrost,Inox
651.49,BALAY,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,AceroMate
903.2,KROMSLINE,78.0,5,184.0,75.0,69.0,259.0,4,3,NoFrost,331.0,F,42,NoFrost,Inox
730.65,SIEMENS,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
847.49,BOSCH,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Inox
519.49,INDESIT,37.0,3,203.0,60.0,68.0,263.0,2,4,NoFrost,254.0,E,39,NoFrost,Inox
481.49,BALAY,37.0,3,176.0,60.0,66.0,193.0,2,3,NoFrost,237.0,E,42,NoFrost,Inox
727.49,BOSCH,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Blanco
341.49,BEKO,37.0,3,175.0,60.0,59.0,237.0,2,5,Cíclico,260.0,F,39,Cíclico,Blanco
781.49,BALAY,37.0,3,186.0,60.0,66.0,237.0,2,4,NoFrost,238.0,E,39,NoFrost,Blanco
416.49,TEKA,37.0,3,188.0,60.0,64.0,224.0,2,5,NoFrost,235.0,E,41,NoFrost,Blanco
850.49,BALAY,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,238.0,E,39,NoFrost,Blanco
794.49,BOSCH,37.0,3,203.0,60.0,66.0,279.0,2,5,NoFrost,191.0,D,36,NoFrost,Inox
644.99,ARISTON HOTPOINT,37.0,3,203.0,60.0,68.0,263.0,2,3,NoFrost,203.0,D,37,NoFrost,Inox
350.49,INDESIT,37.0,3,167.0,60.0,65.0,323.0,1,5,Cíclico,142.0,F,40,Cíclico,Blanco
451.99,FAGOR,37.0,3,186.0,60.0,60.0,206.0,2,4,NoFrost,239.0,E,38,NoFrost,Blanco
817.49,LG,37.0,3,203.0,60.0,66.98464912280701,263.1327623126338,2,4,NoFrost,228.83690987124464,D,38,NoFrost,Blanco
896.49,SIEMENS,37.0,3,186.0,60.0,65.0,346.0,1,7,Cíclico,116.0,E,39,Cíclico,Blanco
